BARRIO,POBLACION,CANTIDADSITIOS,CODIGO_BARRIO,COMUNA
AGRONOMIA,13912,2,AGR,Comuna 15
ALMAGRO,131699,13,ALM,Comuna 5
BALVANERA,138926,40,BAL,Comuna 3
BARRACAS,89452,37,BAR,Comuna 4
BELGRANO,126267,27,BEL,Comuna 13
BOCA,45113,18,BOC,Comuna 4
BOEDO,47306,10,BOE,Comuna 5
CABALLITO,176076,29,CAB,Comuna 6
CHACARITA,27761,14,CHA,Comuna 15
COGHLAN,18604,3,COG,Comuna 12
COLEGIALES,52551,16,COL,Comuna 13
CONSTITUCION,44107,8,CON,Comuna 1
FLORES,164310,46,FLO,Comuna 7
FLORESTA,37575,9,FLA,Comuna 10
LINIERS,44132,13,LIN,Comuna 9
MATADEROS,64436,13,MAT,Comuna 9
MONSERRAT,39914,34,MON,Comuna 1
MONTE CASTRO,33623,6,MCA,Comuna 10
NUEVA POMPEYA,42695,16,POM,Comuna 4
NUÑEZ,51949,18,NUÑ,Comuna 13
PALERMO,226534,60,PAL,Comuna 14
PARQUE AVELLANEDA,53229,16,PAV,Comuna 9
PARQUE CHACABUCO,56281,18,PCO,Comuna 7
PARQUE CHAS,17489,4,PCH,Comuna 15
PARQUE PATRICIOS,40985,45,PPA,Comuna 4
PATERNAL,19717,8,PAT,Comuna 15
PUERTO MADERO,6726,4,PMA,Comuna 1
RECOLETA,157932,26,REC,Comuna 2
RETIRO,65413,31,RET,Comuna 1
SAAVEDRA,50295,18,SAA,Comuna 12
SAN CRISTOBAL,48611,18,SCR,Comuna 3
SAN NICOLAS,29273,78,SNI,Comuna 1
SAN TELMO,20453,8,STE,Comuna 1
VELEZ SARSFIELD,35081,4,VEL,Comuna 10
VERSALLES,13822,2,VER,Comuna 10
VILLA CRESPO,81959,11,VCR,Comuna 15
VILLA DEL PARQUE,55273,10,VDP,Comuna 11
VILLA DEVOTO,66521,19,VDE,Comuna 11
VILLA GRAL. MITRE,34713,6,VGM,Comuna 11
VILLA LUGANO,126374,37,VLG,Comuna 8
VILLA LURO,32502,5,VLU,Comuna 10
VILLA ORTUZAR,21736,4,VOR,Comuna 15
VILLA PUEYRREDON,39654,4,VPU,Comuna 12
VILLA REAL,13419,2,VRE,Comuna 10
VILLA RIACHUELO,14084,7,VRI,Comuna 8
VILLA SANTA RITA,33325,3,VST,Comuna 11
VILLA SOLDATI,46779,32,VSO,Comuna 8
VILLA URQUIZA,91563,10,VUR,Comuna 12
